PRECINCT,CC12_ODAY,CC12_SMITH,CC12_SHELDON,CC12_WINTERER,CC12_DAVIS,CC12_OLIVIA_DAVIS,CC12_DURON,CC12_VAZQUEZ,CC12_GOMEZ,CC12_GRUBER,CC12_MCKINNON,CC12_MANN,CC12_MELKONIANS,CC12_RUBIN,CC12_LATER,CC12TOT,REG12,CC12BALLOTS
6250001A,245,99,81,287,258,245,46,137,32,161,122,72,52,32,124,1993,929,836
6250003C,297,93,110,330,306,296,26,164,17,117,165,56,42,24,116,2159,1045,851
6250005A  ,382,135,58,360,270,346,54,232,35,95,147,104,73,63,70,2424,1268,1029
6250006A,347,109,78,389,218,322,40,216,40,85,158,85,78,67,78,2310,1105,939
6250008A,322,110,77,321,253,301,63,184,35,102,154,85,66,53,64,2190,1197,978
6250010E,298,114,86,290,230,269,40,160,43,89,144,90,69,50,72,2044,1106,925
6250011A,318,136,74,317,188,283,38,231,74,87,144,125,101,70,62,2248,1165,979
6250015B,334,176,204,393,271,322,73,185,39,149,169,100,97,60,83,2655,1310,1036
6250016A,354,183,139,410,279,346,73,255,53,120,172,115,80,66,82,2727,1339,1118
6250017A,348,122,113,400,362,327,59,178,26,205,201,89,69,64,159,2722,1348,1093
6250019A,295,160,103,257,164,241,72,184,61,109,150,110,109,85,86,2186,1387,973
6250020A,330,120,96,320,164,281,38,188,35,80,170,86,95,65,53,2121,1099,880
6250024A,200,100,48,193,117,196,23,175,59,52,76,84,59,35,26,1443,809,631
6250025B,334,106,46,246,176,273,51,259,90,73,92,114,87,51,55,2053,1114,798
6250026A,332,135,98,407,226,323,40,262,46,181,200,84,75,49,85,2543,1203,975
6250029A,196,87,159,232,151,154,31,104,38,91,92,72,54,31,58,1550,757,617
6250032A,336,128,116,326,217,315,56,223,55,109,169,106,89,53,69,2367,1180,944
6250034A,400,147,84,342,262,335,51,207,47,120,136,108,87,56,72,2454,1246,997
6250036B,389,126,70,325,212,354,63,228,67,94,163,126,85,58,70,2430,1216,956
6250041A,382,154,83,363,212,333,45,279,71,100,160,120,110,64,87,2563,1299,1053
6250045A,326,133,71,260,195,285,60,221,58,111,137,107,89,71,73,2197,1259,962
6250046A,373,145,92,311,219,340,48,222,76,95,119,135,78,72,59,2384,1260,995
6250050A,313,139,77,274,155,275,43,215,52,80,114,87,69,53,46,1992,1062,821
6250051A,357,152,101,309,194,306,55,268,85,103,129,138,90,68,58,2413,1289,1009
6250052B,285,88,45,228,143,233,41,204,48,63,91,91,66,55,67,1748,944,689
6250053A,361,141,85,306,194,348,58,253,78,110,155,109,90,63,70,2421,1305,982
6250056A,163,79,35,136,107,143,27,113,42,57,80,70,72,46,58,1228,1003,577
6250060A,227,108,59,199,142,203,40,233,69,47,71,86,57,40,36,1617,884,637
6250061A,330,72,42,258,116,309,38,321,103,58,90,90,40,44,49,1960,956,727
6250062A,249,78,34,198,123,238,31,255,80,47,66,90,31,49,46,1615,947,647
6250067A,400,128,57,475,187,345,46,256,50,195,205,118,78,94,66,2700,1295,1058
6250069A,366,146,76,393,235,293,38,218,68,135,177,84,76,66,94,2465,1206,985
6250070A,342,121,71,389,239,308,44,271,73,146,140,85,59,61,95,2444,1118,895
6250071A,300,90,49,242,130,249,33,257,86,70,66,86,51,52,44,1805,975,688
6250072A,395,158,95,473,249,334,66,319,69,197,260,97,80,65,98,2955,1345,1096
6250076B,248,154,95,295,160,196,29,172,40,149,169,64,60,44,69,1944,902,770
6250078A,242,101,44,249,159,221,31,159,50,96,116,88,55,37,58,1706,836,685
6250081A,361,136,79,411,208,307,52,258,58,115,187,117,83,76,51,2499,1189,957
6250083A,338,157,79,428,187,277,52,295,52,188,206,88,60,64,97,2568,1211,960
6250085A,302,145,74,388,193,236,42,289,79,206,243,85,71,70,68,2491,1286,936
6250089A,298,150,92,574,238,292,44,394,56,291,316,90,59,45,93,3032,1227,1061
6250092A,352,91,53,473,204,303,47,267,57,179,166,103,75,66,49,2485,1266,934
6250094B,306,117,64,331,168,287,44,205,39,69,168,106,72,55,69,2100,1011,909
6250095A,364,159,112,375,182,342,70,254,73,124,194,115,93,74,58,2589,1355,1006
6250098A,373,139,59,418,187,314,48,228,46,113,176,126,90,70,73,2460,1278,1014
6250106B,350,130,70,371,171,290,42,231,64,122,150,96,91,82,78,2338,1228,942
6250107A,359,110,73,375,200,286,50,243,46,146,141,95,69,69,61,2323,1263,971
6250110D,303,104,61,286,176,263,24,189,29,79,120,80,72,39,58,1883,904,759
6250113A,403,130,87,372,203,376,49,281,58,96,188,116,97,86,70,2612,1401,1080
6250121A,316,144,83,308,176,282,48,225,68,85,139,130,90,77,76,2247,1276,892
6250125A,328,133,104,387,297,309,48,185,28,127,200,69,76,25,80,2396,1158,922
6250127A,371,101,57,414,208,313,50,252,57,125,141,86,73,50,52,2350,1129,923
6250128A,244,86,76,276,333,210,40,116,13,99,131,73,64,43,62,1866,931,776
6250128C,38,7,6,24,29,39,4,17,3,22,4,3,4,2,3,205,88,72