PRECINCT,CB14_SNELL,CB14_LOYA,CB14_JAFFE,CB14_GREENSTEIN,CB14_WALZER,CB14_FRISCH,CB14TOT,REG14,CB14_BALLOTS
6250001A,171,108,240,235,167,140,1061,948,532
6250003C,248,123,305,312,222,174,1384,1057,588
6250005A,210,160,269,285,202,169,1295,1286,594
6250006A,214,163,257,266,204,165,1269,1177,614
6250008A,184,119,232,231,198,142,1106,1241,559
6250010E,172,144,214,205,184,151,1070,1210,508
6250011A,185,135,208,212,171,169,1080,1229,512
6250015B,257,183,338,331,256,231,1596,1363,725
6250016A,248,153,279,303,214,182,1379,1449,659
6250017A,249,111,357,344,258,203,1522,1352,780
6250019A,165,136,197,198,178,162,1036,1561,492
6250020A,160,144,222,212,187,181,1106,1168,532
6250024A,110,111,129,142,99,125,716,836,317
6250025B,116,145,150,149,130,120,810,1227,363
6250026A,274,224,334,329,222,241,1624,1289,709
6250029A,170,79,182,189,140,129,889,797,417
6250032A,197,146,253,252,174,168,1190,1236,536
6250034A,194,144,252,251,191,196,1228,1283,583
6250036B,198,134,234,227,205,164,1162,1287,521
6250041A,193,151,225,233,184,175,1161,1452,527
6250045A,155,150,212,216,168,178,1079,1352,495
6250046A,221,179,255,264,173,161,1253,1393,558
6250050A,177,125,203,205,148,106,964,1115,436
6250051A,202,151,208,241,192,182,1176,1368,563
6250052B,119,91,134,138,113,105,700,1024,326
6250053A,143,142,172,186,146,148,937,1408,461
6250056A,60,64,76,71,66,75,412,1110,200
6250060A,130,130,136,152,119,121,788,999,307
6250061A,146,190,146,189,131,156,958,1081,375
6250062A,125,139,130,153,122,122,791,980,345
6250067A,159,109,207,208,155,123,961,1033,452
6250068D,86,85,110,118,91,92,582,643,262
6250069A,221,175,269,253,186,177,1281,1256,592
6250070A,253,163,335,305,212,172,1440,1168,561
6250071A,131,155,145,155,125,127,838,1039,346
6250072A,300,219,377,373,290,277,1836,1389,793
6250076B,213,129,252,237,182,146,1159,932,491
6250078A,126,134,165,157,113,142,837,908,394
6250081A,188,162,247,254,192,206,1249,1215,549
6250083A,239,171,324,325,230,211,1500,1273,633
6250085A,206,203,260,277,187,201,1334,1359,621
6250089A,329,236,399,404,294,271,1933,1288,820
6250092A,231,183,301,287,207,209,1418,1332,596
6250094B,148,112,178,183,133,127,881,1053,465
6250095A,221,168,262,288,223,180,1342,1439,610
6250098A,211,163,247,254,185,175,1235,1315,573
6250106A,174,153,208,205,146,111,997,1066,464
6250107A,234,164,287,291,222,154,1352,1263,634
6250110D,148,132,191,213,150,121,955,1010,455
6250113A,201,157,231,254,186,172,1201,1536,580
6250121A,180,178,222,245,182,196,1203,1415,554
6250125A,223,161,274,286,201,162,1307,1224,627
6250127A,213,184,234,271,165,172,1239,1174,543
6250128A,179,101,222,219,147,118,986,934,526