PRECINCT,SB12_ALLEN,SB12_FARRER,SB12_FOSTER,SB12_JACOBSON,SB12_LEON_VAZQUEZ,SB12_ESCARCE,SB12_TOT,REG12,SB12BALLOTS
6250001A,369,148,205,139,249,254,1364,929,836
6250003C,439,149,212,138,247,267,1452,1045,851
6250005A  ,438,154,212,113,383,340,1640,1268,1029
6250006A,419,158,210,107,343,311,1548,1105,939
6250008A,427,150,201,120,318,301,1517,1197,978
6250010E,363,145,204,110,306,263,1391,1106,925
6250011A,391,167,251,135,314,268,1526,1165,979
6250015B,496,210,280,161,318,336,1801,1310,1036
6250016A,493,225,276,163,351,364,1872,1339,1118
6250017A,520,234,304,198,290,319,1865,1348,1093
6250019A,373,209,276,157,251,220,1486,1387,973
6250020A,375,143,198,117,301,262,1396,1099,880
6250024A,241,102,158,75,218,191,985,809,631
6250025B,393,118,193,81,361,280,1426,1114,798
6250026A,477,195,244,138,378,351,1783,1203,975
6250029A,297,104,149,97,193,206,1046,757,617
6250032A,406,168,231,128,325,291,1549,1180,944
6250034A,434,164,247,134,361,317,1657,1246,997
6250036B,461,158,252,128,377,336,1712,1216,956
6250041A,439,202,279,136,353,304,1713,1299,1053
6250045A,398,180,242,111,327,273,1531,1259,962
6250046A,434,161,225,95,367,345,1627,1260,995
6250050A,365,139,184,76,335,275,1374,1062,821
6250051A,415,173,264,129,352,307,1640,1289,1009
6250052B,298,142,208,95,264,216,1223,944,689
6250053A,400,186,239,113,342,303,1583,1305,982
6250056A,208,120,167,73,171,132,871,1003,577
6250060A,285,114,156,73,295,223,1146,884,637
6250061A,368,117,152,64,402,328,1431,956,727
6250062A,302,109,150,62,298,228,1149,947,647
6250067A,498,168,235,117,394,373,1785,1295,1058
6250069A,445,152,225,111,395,370,1698,1206,985
6250070A,433,168,236,118,384,362,1701,1118,895
6250071A,342,121,161,80,335,290,1329,975,688
6250072A,510,209,279,154,451,397,2000,1345,1096
6250076B,364,155,193,92,256,244,1304,902,770
6250078A,283,144,174,77,266,212,1156,836,685
6250081A,444,151,238,91,391,323,1638,1189,957
6250083A,450,181,253,123,389,344,1740,1211,960
6250085A,398,175,228,110,347,308,1566,1286,936
6250089A,521,191,268,137,479,420,2016,1227,1061
6250092A,452,141,226,82,431,378,1710,1266,934
6250094B,379,137,190,89,303,277,1375,1011,909
6250095A,453,191,266,136,345,304,1695,1355,1006
6250098A,419,169,211,81,359,303,1542,1278,1014
6250106B,395,160,218,94,362,311,1540,1228,942
6250107A,437,153,218,129,357,314,1608,1263,971
6250110D,351,106,190,91,298,246,1282,904,759
6250113A,496,177,253,131,399,343,1799,1401,1080
6250121A,365,162,268,112,317,273,1497,1276,892
6250125A,466,147,195,115,327,333,1583,1158,922
6250127A,406,145,203,83,369,321,1527,1129,923
6250128A,358,137,177,100,214,260,1246,931,776
6250128C,32,10,18,7,21,30,118,88,72