PRECINCT,CC16_ODAY,CC16_WATSON,CC16_WINTERER,CC16_VAZQUEZ,CC16_SMITH,CC16_DE_LA_TORRE,CC16_DAVIS,CC16_LATER,CC16_MELKONIANS,CC16_MANN,CC16TOT,REG16,CC16_BALLOTS
6250001A,272,82,292,234,71,161,254,135,246,56,1803,980,820
6250003C,304,95,283,250,60,165,268,146,268,57,1896,1104,913
6250005A,430,133,405,411,99,201,417,88,297,58,2539,1407,1137
6250006A,384,119,378,355,90,206,341,101,257,77,2308,1203,974
6250008A,337,131,312,293,91,159,287,117,211,83,2021,1225,957
6250010E,346,134,330,330,82,185,333,80,211,74,2105,1341,1009
6250011A,351,155,309,312,106,179,325,95,206,70,2108,1311,976
6250015B,392,108,370,341,100,197,359,121,353,78,2419,1406,1100
6250016A,452,146,418,406,148,235,429,130,315,87,2766,1551,1174
6250017A,414,102,432,339,67,198,372,161,315,72,2472,1397,1105
6250019A,417,187,342,355,127,213,370,130,237,105,2483,1843,1203
6250020A,324,106,309,301,90,158,288,96,221,63,1956,1213,934
6250024A,241,95,205,217,73,147,226,61,154,56,1475,884,701
6250025B,330,105,269,364,88,330,301,70,181,86,2124,1362,930
6250026A,377,120,366,380,118,287,354,117,309,74,2502,1335,1069
6250029A,226,68,211,200,54,136,192,70,227,59,1443,803,661
6250032A,386,119,353,360,79,197,372,86,257,78,2287,1333,1008
6250034A,418,121,397,370,108,214,405,83,258,75,2449,1373,1078
6250036B,376,138,356,364,82,196,378,98,234,90,2312,1390,1021
6250041A,386,153,363,384,142,217,397,125,241,103,2511,1557,1101
6250045A,399,161,328,365,111,232,368,103,261,70,2398,1473,1094
6250046A,428,102,368,394,108,212,388,100,206,82,2388,1417,1053
6250050A,349,106,324,330,104,183,351,76,171,71,2065,1191,877
6250051A,393,123,355,362,98,234,343,104,244,68,2324,1446,1084
6250052B,298,127,228,289,97,182,259,89,157,48,1774,1168,801
6250053A,413,132,337,371,109,233,394,100,224,81,2394,1528,1091
6250056A,228,128,173,201,93,158,204,69,145,79,1478,1333,722
6250060A,232,90,175,270,68,242,196,71,149,56,1549,1068,691
6250061A,322,91,257,367,69,387,302,47,139,58,2039,1189,805
6250062A,279,82,187,274,89,322,242,69,162,58,1764,1074,743
6250067A,409,110,446,456,108,209,403,100,252,77,2570,1419,1113
6250069A,420,88,367,378,117,231,347,108,252,72,2380,1281,1026
6250070A,388,111,350,396,103,215,354,90,256,92,2355,1179,903
6250071A,307,74,205,305,78,278,256,53,135,69,1760,1102,730
6250072A,462,112,454,441,123,265,406,129,331,79,2802,1461,1157
6250076B,279,89,274,283,88,214,248,79,254,67,1875,927,773
6250078A,283,87,271,260,81,206,230,81,201,52,1752,945,816
6250081A,377,114,395,374,117,181,346,70,249,73,2296,1290,961
6250083A,401,99,412,407,98,235,365,106,274,64,2461,1287,1028
6250085A,400,125,368,387,136,270,355,112,332,88,2573,1359,1027
6250089A,427,97,486,490,103,269,405,123,369,88,2857,1347,1091
6250092A,432,92,491,457,108,233,400,82,252,71,2618,1355,1017
6250094B,316,116,336,311,92,159,308,76,229,74,2017,1168,935
6250095A,434,182,400,406,108,203,389,117,263,113,2615,1490,1097
6250098A,413,116,441,406,105,194,414,90,227,107,2513,1403,1111
6250106A,418,126,415,422,127,247,391,91,279,83,2599,1469,1065
6250107A,376,121,398,377,93,157,377,81,208,76,2264,1300,993
6250110D,324,96,323,304,109,150,337,88,196,60,1987,1120,871
6250113A,418,174,413,405,140,219,444,122,265,103,2703,1642,1222
6250121A,444,162,359,421,152,258,389,124,282,89,2680,1716,1194
6250125A,332,97,368,314,50,146,312,89,219,63,1990,1204,882
6250127A,398,137,422,386,99,210,382,71,200,62,2367,1266,994
6250128A,265,79,298,245,52,133,237,79,208,63,1659,931,749
6250128C,31,3,29,32,4,4,29,0,10,1,143,78,58