PRECINCT,CB18_ACOSTA,CB18_JAFFE,CB18_ROY,CB18_SNELL,CB18_GREENSTEIN,CB18TOT,REG18,CB18_BALLOTS
6250001A,111,362,335,278,344,1430,996,752
6250003C,103,393,370,320,370,1556,1079,796
6250005A,213,542,501,449,518,2223,1479,1064
6250006A,159,477,448,376,471,1931,1146,830
6250008A,152,416,384,356,416,1724,1183,867
6250009A,171,264,260,214,284,1193,1468,619
6250010E,141,333,315,252,328,1369,1220,864
6250011A,171,407,382,328,399,1687,1320,802
6250015B,184,482,450,404,475,1995,1404,1008
6250016A,227,547,482,432,522,2210,1568,1091
6250017A,147,444,414,356,424,1785,1389,1011
6250019C,188,373,380,314,405,1660,1789,962
6250020A,161,416,404,332,410,1723,1256,851
6250024A,145,283,257,221,262,1168,845,528
6250025B,274,392,385,322,428,1801,1389,865
6250026A,242,520,525,436,509,2232,1343,974
6250029A,97,277,282,249,281,1186,797,574
6250032A,192,505,474,387,493,2051,1408,959
6250034A,179,530,462,441,514,2126,1377,975
6250036B,180,512,480,423,503,2098,1416,941
6250041A,211,478,471,408,492,2060,1606,1006
6250045A,254,505,483,404,492,2138,1568,976
6250046A,161,441,432,381,473,1888,1471,1005
6250050A,160,418,381,334,412,1705,1172,806
6250051A,240,497,482,406,503,2128,1503,961
6250052B,185,338,307,278,347,1455,1241,736
6250053A,229,502,431,390,513,2065,1543,948
6250060A,186,264,246,218,287,1201,1092,599
6250061A,220,355,293,291,371,1530,1266,727
6250062A,213,312,291,273,300,1389,1110,624
6250067A,233,500,469,409,506,2117,1436,994
6250069A,229,512,474,395,478,2088,1301,939
6250070A,202,448,425,372,428,1875,1174,834
6250071A,227,357,328,308,361,1581,1135,667
6250072A,266,579,548,470,553,2416,1547,1097
6250076B,160,382,369,332,373,1616,981,733
6250078A,159,331,311,266,321,1388,969,711
6250081A,192,471,442,386,470,1961,1307,887
6250083A,234,484,439,389,450,1996,1280,929
6250085A,225,484,453,374,472,2008,1345,960
6250089A,177,491,453,417,464,2002,1321,977
6250092A,205,530,512,434,545,2226,1353,936
6250094B,139,386,366,345,394,1630,1210,829
6250095A,197,472,459,392,484,2004,1548,993
6250098A,184,489,460,396,482,2011,1438,977
6250106A,229,538,485,441,519,2212,1524,993
6250107A,159,464,454,395,500,1972,1306,905
6250110D,151,395,355,325,387,1613,1141,778
6250113A,248,580,540,464,569,2401,1679,1155
6250121B,270,491,473,398,493,2125,1759,1041
6250125A,156,479,436,386,462,1919,1227,906
6250127A,191,481,439,393,480,1984,1252,871
6250128A,105,361,338,329,350,1483,938,681