PRECINCT,TOTVOTE,MATEWSKY,SKERITT,HICKS,MANGAN,RMARCHESE,DELLISOLA,SARNIE,NAPOLITANO,HANLON,BARRETT,TOT_CCAA,P_MATEWSKY,P_SKERITT,P_HICKS,P_MANGAN,P_RMARCHESE,P_DELLISOLA,P_SARNIE,P_NAPOLITANO,P_HANLON,P_BARRETT,GIANNELLI,CAPONE,TOT_CCW1,P_GIANNELLI,P_CAPONE,MARCUS,SIMONELLI,TOT_CCW2,P_MARCUS,P_SIMONELLI,MMARCHESE,DIPIERRO,TOT_CCW3,P_MMARCHESE,P_DIPIERRO,DEMARIA,MCKINNON,TOT_CCW4,P_DEMARIA,P_MCKINNON,PIEROTTI,DIFLORIO,TOT_CCW5,P_PIEROTTI,P_DIFLORIO,MCLAUGHLIN,SACHETTA,TOT_CCW6,P_MCLAUGH,P_SACHETTA,MACLAUGHLIN,BANIEWICZ,DONOFRIO,TOT_SCOMAA,P_MACLAUGH,P_BANIE,P_DONORIO
Ward 1 Precinct 1,423,222,117,89,133,113,117,91,199,193,73,1347,0.16481069,0.086859688,0.066072754,0.098737936,0.083890126,0.086859688,0.067557535,0.147735709,0.143281366,0.054194506,111,250,361,0.307479224,0.692520776,135,198,333,0.405405405,0.594594595,180,176,356,0.505617978,0.494382022,165,207,372,0.443548387,0.556451613,152,191,343,0.443148688,0.556851312,161,173,334,0.482035928,0.517964072,189,145,163,497,0.38028169,0.291750503,0.327967807
Ward 1 Precinct 2,333,183,72,69,90,64,109,66,127,109,45,934,0.195931478,0.077087794,0.073875803,0.096359743,0.068522484,0.116702355,0.070663812,0.135974304,0.116702355,0.048179872,96,203,299,0.321070234,0.678929766,104,158,262,0.396946565,0.603053435,155,136,291,0.532646048,0.467353952,126,158,284,0.443661972,0.556338028,103,166,269,0.382899628,0.617100372,111,152,263,0.422053232,0.577946768,129,104,120,353,0.365439093,0.294617564,0.339943343
Ward 2 Precinct 1,389,176,88,80,108,94,106,83,108,143,53,1039,0.169393648,0.084696824,0.076997113,0.103946102,0.090471607,0.102021174,0.079884504,0.103946102,0.137632339,0.051010587,102,224,326,0.312883436,0.687116564,199,123,322,0.618012422,0.381987578,153,191,344,0.444767442,0.555232558,182,168,350,0.52,0.48,136,174,310,0.438709677,0.561290323,158,149,307,0.51465798,0.48534202,164,132,147,443,0.37020316,0.297968397,0.331828442
Ward 2 Precinct 2,323,130,103,57,119,72,91,59,90,109,42,872,0.149082569,0.118119266,0.065366972,0.13646789,0.082568807,0.104357798,0.06766055,0.103211009,0.125,0.048165138,78,177,255,0.305882353,0.694117647,163,103,266,0.612781955,0.387218045,114,170,284,0.401408451,0.598591549,136,150,286,0.475524476,0.524475524,112,139,251,0.446215139,0.553784861,125,118,243,0.514403292,0.485596708,163,115,132,410,0.397560976,0.280487805,0.32195122
Ward 3 Precinct 1,535,215,145,101,220,134,236,132,184,203,73,1643,0.130858186,0.088253195,0.061472915,0.1339014,0.081558125,0.143639684,0.08034084,0.111990262,0.123554474,0.044430919,127,320,447,0.284116331,0.715883669,203,221,424,0.478773585,0.521226415,234,248,482,0.485477178,0.514522822,217,259,476,0.455882353,0.544117647,184,241,425,0.432941176,0.567058824,259,184,443,0.584650113,0.415349887,265,221,247,733,0.361527967,0.301500682,0.336971351
Ward 3 Precinct 2,435,159,94,82,154,131,185,133,138,186,66,1328,0.119728916,0.070783133,0.061746988,0.115963855,0.098644578,0.139307229,0.100150602,0.103915663,0.140060241,0.049698795,107,244,351,0.304843305,0.695156695,157,169,326,0.481595092,0.518404908,231,163,394,0.586294416,0.413705584,170,211,381,0.446194226,0.553805774,143,207,350,0.408571429,0.591428571,177,178,355,0.498591549,0.501408451,228,170,164,562,0.40569395,0.302491103,0.291814947
Ward 4 Precinct 1,525,192,134,117,178,123,192,124,173,198,84,1515,0.126732673,0.088448845,0.077227723,0.117491749,0.081188119,0.126732673,0.081848185,0.114191419,0.130693069,0.055445545,140,311,451,0.310421286,0.689578714,208,228,436,0.47706422,0.52293578,186,272,458,0.406113537,0.593886463,209,278,487,0.429158111,0.570841889,168,257,425,0.395294118,0.604705882,230,211,441,0.52154195,0.47845805,262,188,219,669,0.391629297,0.281016442,0.32735426
Ward 4 Precinct 2,429,203,122,101,138,88,144,83,126,151,66,1222,0.166121113,0.099836334,0.082651391,0.112929624,0.072013093,0.117839607,0.06792144,0.103109656,0.123567921,0.05400982,113,231,344,0.328488372,0.671511628,152,176,328,0.463414634,0.536585366,148,214,362,0.408839779,0.591160221,200,184,384,0.520833333,0.479166667,158,173,331,0.47734139,0.52265861,199,130,329,0.604863222,0.395136778,207,143,158,508,0.407480315,0.281496063,0.311023622
Ward 5 Precinct 1,414,141,103,101,151,84,159,136,150,191,49,1265,0.111462451,0.081422925,0.079841897,0.119367589,0.066403162,0.1256917,0.107509881,0.118577075,0.150988142,0.038735178,108,260,368,0.293478261,0.706521739,129,191,320,0.403125,0.596875,171,196,367,0.465940054,0.534059946,157,208,365,0.430136986,0.569863014,164,209,373,0.439678284,0.560321716,186,160,346,0.537572254,0.462427746,202,164,180,546,0.36996337,0.3003663,0.32967033
Ward 5 Precinct 2,369,157,101,69,119,77,122,102,115,147,43,1052,0.149239544,0.096007605,0.065589354,0.113117871,0.073193916,0.115969582,0.096958175,0.109315589,0.13973384,0.040874525,90,222,312,0.288461538,0.711538462,115,168,283,0.406360424,0.593639576,150,178,328,0.457317073,0.542682927,168,160,328,0.512195122,0.487804878,131,189,320,0.409375,0.590625,163,152,315,0.517460317,0.482539683,184,122,140,446,0.412556054,0.273542601,0.313901345
Ward 6 Precinct 1,418,138,80,169,125,76,174,167,115,181,49,1274,0.108320251,0.062794349,0.132653061,0.09811617,0.059654631,0.136577708,0.131083203,0.090266876,0.142072214,0.038461538,92,266,358,0.25698324,0.74301676,131,207,338,0.387573964,0.612426036,151,221,372,0.405913978,0.594086022,188,181,369,0.509485095,0.490514905,144,204,348,0.413793103,0.586206897,197,175,372,0.529569892,0.470430108,191,142,171,504,0.378968254,0.281746032,0.339285714
Ward 6 Precinct 2,379,125,112,145,129,58,124,103,114,162,36,1108,0.112815884,0.101083032,0.130866426,0.116425993,0.05234657,0.111913357,0.092960289,0.102888087,0.146209386,0.032490975,74,257,331,0.223564955,0.776435045,114,182,296,0.385135135,0.614864865,138,189,327,0.422018349,0.577981651,174,161,335,0.519402985,0.480597015,115,191,306,0.375816993,0.624183007,174,134,308,0.564935065,0.435064935,160,111,158,429,0.372960373,0.258741259,0.368298368