PRECINCT,KATHY WATANABE,MOHAMMED NADEEM,SUDS JAIN,ANTHONY J. BECKER,MARIO BOUZA,TOTAL,AsianPercent,WatanabePercent,NademPercent,JainPercent,BeckPercent,BouzaPercent,Nadem+JainPercent
PCT 4201,390,158,185,53,71,857,0.07634307,0.455075846,0.1843640607,0.2158693116,0.06184364061,0.08284714119,0.4002333722
PCT MAIL 4202,36,21,4,19,8,88,0.09433962,0.4090909091,0.2386363636,0.04545454545,0.2159090909,0.09090909091,0.2840909091
PCT MAIL 4205,35,14,15,3,5,72,0.10377358,0.4861111111,0.1944444444,0.2083333333,0.04166666667,0.06944444444,0.4027777778
PCT 4208,345,161,131,86,85,808,0.19468085,0.426980198,0.1992574257,0.1621287129,0.1064356436,0.1051980198,0.3613861386
PCT 4211,382,216,121,67,75,861,0.161,0.443670151,0.2508710801,0.1405342625,0.07781649245,0.08710801394,0.3914053426
PCT 4217,395,200,194,90,95,974,0.0987234,0.4055441478,0.205338809,0.1991786448,0.09240246407,0.09753593429,0.4045174538
PCT 4218,265,118,127,54,40,604,0.12807245,0.4387417219,0.1953642384,0.2102649007,0.08940397351,0.06622516556,0.4056291391
PCT 4225,409,193,132,95,82,911,0.09861592,0.4489571899,0.2118551043,0.144895719,0.1042810099,0.09001097695,0.3567508233
PCT 4226,442,196,132,73,81,924,0.1215859,0.4783549784,0.2121212121,0.1428571429,0.079004329,0.08766233766,0.354978355
PCT 4231,383,180,112,67,67,809,0.17043121,0.4734239802,0.2224969098,0.1384425216,0.08281829419,0.08281829419,0.3609394314
PCT 4233,372,162,112,56,81,783,0.13319012,0.4750957854,0.2068965517,0.1430395913,0.07151979566,0.1034482759,0.349936143
PCT 4238,451,207,146,88,73,965,0.2159292,0.467357513,0.214507772,0.1512953368,0.09119170984,0.07564766839,0.3658031088
PCT 4241,480,141,156,71,81,929,0.22030825,0.5166846071,0.1517761033,0.1679224973,0.0764262648,0.08719052745,0.3196986006
PCT 4242,447,180,162,109,106,"1,004",0.24222035,0.4452191235,0.1792828685,0.1613545817,0.1085657371,0.1055776892,0.3406374502
PCT 4249,435,183,138,107,72,935,0.24010554,0.4652406417,0.1957219251,0.1475935829,0.1144385027,0.07700534759,0.343315508
PCT 4251,453,263,154,109,73,"1,052",0.19367284,0.430608365,0.25,0.1463878327,0.1036121673,0.06939163498,0.3963878327
PCT 4255,134,63,42,29,34,302,0.0952381,0.4437086093,0.2086092715,0.1390728477,0.09602649007,0.1125827815,0.3476821192
PCT 4256,565,168,124,50,47,954,0.3264942,0.5922431866,0.1761006289,0.1299790356,0.05241090147,0.04926624738,0.3060796646
PCT 4257,527,179,122,89,49,966,0.31574468,0.5455486542,0.185300207,0.1262939959,0.09213250518,0.05072463768,0.3115942029
PCT 4258,326,88,62,51,49,576,0.24924925,0.5659722222,0.1527777778,0.1076388889,0.08854166667,0.08506944444,0.2604166667
PCT 4259,474,190,142,95,108,"1,009",0.16908625,0.4697720515,0.1883052527,0.1407333994,0.09415262636,0.10703667,0.3290386521
PCT 4261,304,97,106,75,51,633,0.25965379,0.4802527646,0.1532385466,0.1674565561,0.1184834123,0.08056872038,0.3206951027
PCT 4262,376,147,139,64,74,800,0.21321962,0.47,0.18375,0.17375,0.08,0.0925,0.3575
PCT 4265,448,194,118,88,84,932,0.2285192,0.4806866953,0.2081545064,0.1266094421,0.09442060086,0.09012875536,0.3347639485
PCT 4268,360,170,116,81,87,814,0.21386139,0.4422604423,0.2088452088,0.1425061425,0.09950859951,0.1068796069,0.3513513514
PCT 4269,471,79,63,32,24,669,0.38519448,0.7040358744,0.1180866966,0.09417040359,0.04783258595,0.03587443946,0.2122571001
PCT 4270,433,195,128,96,88,940,0.23134328,0.4606382979,0.2074468085,0.1361702128,0.1021276596,0.09361702128,0.3436170213
PCT 4272,406,165,107,75,49,802,0.2569089,0.506234414,0.2057356608,0.1334164589,0.09351620948,0.06109725686,0.3391521197
PCT 4285,364,125,62,58,57,666,0.22418478,0.5465465465,0.1876876877,0.09309309309,0.08708708709,0.08558558559,0.2807807808
PCT 4288,290,126,91,31,57,595,0.23194444,0.487394958,0.2117647059,0.1529411765,0.05210084034,0.09579831933,0.3647058824
PCT 4289,230,110,84,55,40,519,0.1829653,0.4431599229,0.2119460501,0.161849711,0.105973025,0.07707129094,0.3737957611
PCT 4290,228,116,73,44,39,500,0.12969283,0.456,0.232,0.146,0.088,0.078,0.378
PCT 4292,224,104,119,27,22,496,0.42321429,0.4516129032,0.2096774194,0.2399193548,0.05443548387,0.04435483871,0.4495967742
PCT 4297,466,174,125,75,96,936,0.15919924,0.4978632479,0.1858974359,0.1335470085,0.08012820513,0.1025641026,0.3194444444
PCT 4298,515,216,153,74,56,"1,014",0.20521447,0.5078895464,0.2130177515,0.150887574,0.07297830375,0.05522682446,0.3639053254
PCT MAIL 4299,45,17,12,8,2,84,0.22608696,0.5357142857,0.2023809524,0.1428571429,0.09523809524,0.02380952381,0.3452380952
PCT 4301,371,188,191,52,70,872,0.27746212,0.4254587156,0.2155963303,0.2190366972,0.05963302752,0.08027522936,0.4346330275
PCT 4305,409,174,170,74,67,894,0.26588022,0.4574944072,0.1946308725,0.1901565996,0.08277404922,0.07494407159,0.384787472
PCT MAIL 4309,14,4,9,5,2,34,0.31707317,0.4117647059,0.1176470588,0.2647058824,0.1470588235,0.05882352941,0.3823529412
PCT 4312,264,112,144,43,30,593,0.26970954,0.4451939292,0.1888701518,0.2428330523,0.07251264755,0.05059021922,0.431703204
PCT 4315,379,105,92,37,47,660,0.19266055,0.5742424242,0.1590909091,0.1393939394,0.05606060606,0.07121212121,0.2984848485
PCT 4319,451,184,163,103,65,966,0.22022838,0.466873706,0.1904761905,0.16873706,0.1066252588,0.06728778468,0.3592132505
PCT 4321,336,239,100,65,44,784,0.33617021,0.4285714286,0.3048469388,0.1275510204,0.08290816327,0.05612244898,0.4323979592
PCT 4327,417,212,146,80,73,928,0.21164021,0.4493534483,0.2284482759,0.1573275862,0.08620689655,0.0786637931,0.3857758621
PCT 4332,303,74,49,33,45,504,0.25605536,0.6011904762,0.1468253968,0.09722222222,0.06547619048,0.08928571429,0.244047619
PCT 4334,319,130,122,37,41,649,0.21456437,0.4915254237,0.2003081664,0.18798151,0.05701078582,0.06317411402,0.3882896764
PCT 4344,204,104,80,53,40,481,0.21236133,0.4241164241,0.2162162162,0.1663201663,0.1101871102,0.08316008316,0.3825363825
PCT 4353,153,53,44,40,30,320,0.09635417,0.478125,0.165625,0.1375,0.125,0.09375,0.303125
Total,"16,526","6,895","5,319","2,966","2,762","34,468",,0.4794592085,0.2000406174,0.1543170477,0.08605082976,0.08013229662,0.3543576651