PRECINCT,TOTVOTE,P_JOHNS,P_SOTOP,P_HVAP,P_WVAP,P_AMINVAP,P_OTHVAP,P_CVAPW,P_CVAPAMIN,P_CVAPHISP,P_CVAPOTH
101,137,0.489051095,0.510948905,0.337899216,0.505416455,0.065467363,0.091216966,0.417513383,0.11091873,0.412519899,0.059047988
102,40,0.45,0.55,0.66417983,0.259054413,0.02791924,0.048846517,0.537637093,0.027000505,0.387882198,0.047480204
110,232,0.564655172,0.435344828,0.187897368,0.736921228,0.019215449,0.055965955,0.698866525,0.020429435,0.252920505,0.027783535
112,44,0.340909091,0.659090909,0.669077119,0.290034363,0.018174259,0.022714259,0.36565173,0.033379053,0.536555433,0.064413784
113,123,0.43902439,0.56097561,0.72327068,0.229901177,0.014948387,0.031879756,0.313279639,5.30E-07,0.603067843,0.083651988
116,136,0.573529412,0.426470588,0.236417455,0.689783767,0.015819273,0.057979505,0.748504745,0.028891916,0.212082464,0.010520876
118,98,0.530612245,0.469387755,0.278374114,0.617365139,0.023770761,0.080489986,0.649547491,0.040711254,0.289180437,0.020560817
120,87,0.356321839,0.643678161,0.7675168,0.180523437,0.015535306,0.036424457,0.277844379,0.031336766,0.671629024,0.019189831
126,89,0.393258427,0.606741573,0.777828284,0.144347669,0.010266843,0.067557204,0.152304939,0.041141351,0.678961349,0.127592362
127,189,0.523809524,0.476190476,0.463556408,0.476265918,0.016115126,0.044062548,0.530909837,5.06E-05,0.415049497,0.053990053
129,110,0.509090909,0.490909091,0.440695729,0.499688651,0.017214573,0.042401047,0.382577087,0.022427418,0.51080025,0.084195244
130,293,0.580204778,0.419795222,0.226807644,0.692655952,0.011597442,0.068938962,0.639254754,0.025839519,0.257410467,0.077495261
132,132,0.651515152,0.348484848,0.240629938,0.723206536,0.009685218,0.026478308,0.578766575,7.00E-06,0.361044446,0.060181982
133,364,0.582417582,0.417582418,0.149311259,0.791948512,0.01317062,0.045569609,0.927962741,0.002976262,0.052175378,0.016885619
134,372,0.693548387,0.306451613,0.136386318,0.810382434,0.013853301,0.039377947,0.863441571,0.007753614,0.110142092,0.018662723
135,215,0.655813953,0.344186047,0.073355276,0.891537323,0.012769762,0.022337639,0.817409018,0.014118574,0.135367682,0.033104726
138,399,0.646616541,0.353383459,0.104143955,0.849452296,0.004500008,0.041903741,0.915243071,9.50E-07,0.06363413,0.021121848
139,361,0.689750693,0.310249307,0.080620449,0.888035162,0.008329413,0.023014976,0.754524092,0.047707457,0.152700682,0.045067769
142,212,0.735849057,0.264150943,0.109649888,0.850530724,0.00742225,0.032397138,0.528386471,1.26E-07,0.467006553,0.004606851
144,2,1,0,0.300574062,0.402750657,0,0.296675281,0.528409091,0.017045455,0.4375,0.017045455
145,118,0.516949153,0.483050847,0.536978535,0.405189134,0.016220376,0.041611955,0.456322141,0.013414352,0.47659201,0.053671498
153,218,0.73853211,0.26146789,0.146850208,0.787210013,0.00899136,0.056948419,0.792447463,0,0.153564042,0.053988495
163,340,0.744117647,0.255882353,0.079375627,0.871567353,0.009748124,0.039308896,0.825744827,4.30E-06,0.164409173,0.009841695
167,342,0.754385965,0.245614035,0.122612434,0.834684892,0.003714464,0.03898821,0.865968703,3.03E-07,0.096231552,0.037799442
168,295,0.742372881,0.257627119,0.068853102,0.874766757,0.007433357,0.048946784,0.816650516,0,0.153743149,0.029606335
169,418,0.744019139,0.255980861,0.111941468,0.83192449,0.008493653,0.047640389,0.661575085,3.80E-06,0.189276973,0.149144141
170,107,0.560747664,0.439252336,0.178954617,0.748816885,0.006567533,0.065660965,0.808645388,0,0.178477799,0.012876812
171,115,0.67826087,0.32173913,0.087177118,0.838176892,0.012432283,0.062213707,0.775802884,0,0.216250394,0.007946723
173,177,0.672316384,0.327683616,0.186062539,0.751220985,0.009568825,0.053147651,0.876772127,1.05E-05,0.092910049,0.030307363
177,317,0.712933754,0.287066246,0.117661397,0.834441136,0.008401801,0.039495666,0.823136586,0.006193139,0.139696506,0.03097377
179,314,0.707006369,0.292993631,0.112271784,0.83840279,0.013602455,0.035722971,0.790311623,0.004496416,0.145969842,0.059222119
180,146,0.773972603,0.226027397,0.090725059,0.84436084,0.00179222,0.063121881,0.788062291,0.001098189,0.185571998,0.025267522
181,331,0.770392749,0.229607251,0.142373508,0.798784334,0.008270204,0.050571954,0.852290647,9.35E-06,0.114594249,0.033105754
182,423,0.744680851,0.255319149,0.093448719,0.854718376,0.002779493,0.049053412,0.856579904,0,0.136321272,0.007098823
183,240,0.791666667,0.208333333,0.084581657,0.869417975,0.002962575,0.043037793,0.902259505,0,0.086954703,0.010785792
184,248,0.657258065,0.342741935,0.402446334,0.531007734,0.019419607,0.047126325,0.626901516,0.058249832,0.267819841,0.047028812
185,268,0.753731343,0.246268657,0.116976346,0.840964066,0.008983345,0.033076243,0.900091445,0,0.090373921,0.009534635
186,305,0.737704918,0.262295082,0.161108065,0.778761641,0.012052221,0.048078073,0.762745184,9.18E-08,0.189650777,0.047603947
187,259,0.752895753,0.247104247,0.131744393,0.796784159,0.00968122,0.061790228,0.848,0,0.12,0.032
188,423,0.754137116,0.245862884,0.129691323,0.783166811,0.013842883,0.073298983,0.861144276,0.00348857,0.123682369,0.011684785
189,218,0.793577982,0.206422018,0.101184918,0.816303148,0.001651026,0.080860908,0.847772979,0,0.120124082,0.032102939
190,160,0.73125,0.26875,0.136545722,0.829640547,0.00323791,0.030575821,0.770301527,0,0.162197313,0.06750116
701,68,0.514705882,0.485294118,0.516776782,0.267451442,0.168428407,0.047343369,0.256637168,0.185840708,0.504424779,0.053097345
1301,135,0.681481481,0.318518519,0.073100065,0.908991058,0.00692492,0.010983957,0.885482471,0.011102474,0.080019615,0.02339544
1901,64,0.609375,0.390625,0.573351418,0.401633733,0.010190216,0.014824633,0.437633966,0.005919247,0.488375447,0.068071341
3004,12,0.666666667,0.333333333,0.067520788,0.88532824,0.000769549,0.046381423,0.850067299,0.00036916,0.121015191,0.028548349
3203,267,0.853932584,0.146067416,0.075091361,0.897496542,0.006629524,0.020782573,0.873594658,2.41E-06,0.101342224,0.025060704
3204,34,0.676470588,0.323529412,0,0.980016613,0,0.019983387,0.944885498,0.00702357,0.030868203,0.017222728
3205,314,0.780254777,0.219745223,0.100200902,0.86176447,0.007247052,0.030787576,0.863726635,0.008900214,0.104881861,0.022491291
3208,36,0.777777778,0.222222222,0.118811404,0.798975943,0.023779943,0.05843271,0.791077645,0,0.171813874,0.037108482
3305,206,0.781553398,0.218446602,0.096357736,0.878970931,0.004801112,0.019870221,0.816208562,0.024728124,0.102464901,0.056598412
3308,231,0.787878788,0.212121212,0.298703353,0.673557618,0.001039293,0.026699736,0.652330756,0.034650626,0.30034645,0.012672169
3309,151,0.529801325,0.470198675,0.38501486,0.270512181,0.30628885,0.038184109,0.264247219,0.450197978,0.244276968,0.041277835
3310,204,0.529411765,0.470588235,0.482595068,0.252061472,0.168702166,0.096641294,0.321721345,0.198189759,0.364813371,0.115275524
3313,85,0.905882353,0.094117647,0.082527313,0.895818582,0.012838931,0.008815174,0.9161918,0.035176242,0.001152482,0.047479475
3605,223,0.784753363,0.215246637,0.099109406,0.864029442,0.008909847,0.027951305,0.886649644,0.009047481,0.083828575,0.020474301
3701,157,0.656050955,0.343949045,0.337211201,0.326187056,0.305059401,0.031542342,0.391577475,0.283607108,0.262887275,0.061928142
3904,69,0.782608696,0.217391304,0.034054707,0.923316152,0.019180099,0.023449042,0.904291671,0.00703146,0.029199247,0.059477622
3905,81,0.790123457,0.209876543,0.159067414,0.797915418,0.009241622,0.033775546,0.901399808,0.031754621,0.017911407,0.048934164
4001,70,0.642857143,0.357142857,0.355316446,0.21649832,0.386522776,0.041662458,0.235200418,0.48547362,0.241388285,0.037937676
4101,94,0.808510638,0.191489362,0.255805737,0.701011761,0.012645413,0.030537089,0.853036643,0.016880569,0.028148124,0.101934664
4102,272,0.794117647,0.205882353,0.030519582,0.947085095,0.003936106,0.018459217,0.944756965,0.007111693,0.031657427,0.016473915
4104,169,0.763313609,0.236686391,0.377089018,0.589983613,0.00849735,0.024430019,0.586840882,0.006520005,0.272367776,0.134271338
4114,230,0.786956522,0.213043478,0.104456576,0.859629022,0.015844242,0.02007016,0.913864106,0.006128405,0.065957872,0.014049617
4115,126,0.753968254,0.246031746,0.091321015,0.889562832,0.008460569,0.010655584,0.93010067,0.018075939,0.018789473,0.033033918
4503,36,0.888888889,0.111111111,0.071404358,0.885552512,0.0142741,0.02876903,0.943257892,0.0080969,0.040540694,0.008104514
4601,127,0.787401575,0.212598425,0.066362252,0.886297605,0.006729748,0.040610395,0.672796321,0,0.250704641,0.076499039
4609,110,0.772727273,0.227272727,0.257356938,0.707636635,0.007037804,0.027968623,0.605504838,0.000542327,0.291811779,0.102141055
4623,25,0.8,0.2,0.093769189,0.732738492,0.120949994,0.052542325,0.760575191,0.027986141,0.111732213,0.099706456
4625,1,0,1,0.212714056,0.786971735,3.56E-05,0.000278609,0.899640876,0.025089798,0.007169725,0.068099601
4626,7,0.571428571,0.428571429,0.082578992,0.896955606,0,0.020465402,0.734631729,0,0.200144993,0.065223278
4627,86,0.755813953,0.244186047,0.177950301,0.799735372,6.92E-05,0.022245127,0.934524508,4.35E-07,0.037535435,0.027939622
4801,363,0.804407713,0.195592287,0.080456425,0.886515612,0.007909649,0.025118314,0.906706773,0.009139244,0.067971168,0.016182815
5003,214,0.836448598,0.163551402,0.080788163,0.875603285,0.016184834,0.027423718,0.869718633,0.016420782,0.100331511,0.013529075
5010,72,0.791666667,0.208333333,0.082090424,0.878023859,0.005161967,0.03472375,0.881901133,0,0.099042363,0.019056504
5012,175,0.645714286,0.354285714,0.132204016,0.223039563,0.610791259,0.033965162,0.200855932,0.669303365,0.096022251,0.033818452
5014,210,0.776190476,0.223809524,0.114413848,0.859076723,0.009443431,0.017065998,0.884194269,0.0340463,0.064477914,0.017281518
5020,154,0.824675325,0.175324675,0.107624471,0.84654081,0.015022211,0.030812508,0.865949045,0.009040368,0.107754267,0.01725632
154,235,0.685106383,0.314893617,0.230323199,0.687340124,0.013549763,0.068786914,0.670973369,0.012095165,0.285436696,0.03149477
3102,185,0.589189189,0.410810811,0.399761304,0.315464044,0.214679583,0.070095069,0.381560321,0.276586042,0.308106437,0.0337472